a,b,c,d
0,0,0,0
2e-09,4.8538e-10,6.3954e-10,6.5298e-10
4e-09,1.4654e-09,2.2482e-09,2.2958e-09
6e-09,5.0277e-09,7.0936e-09,4.5459e-09
8e-09,1.5102e-08,2.016e-08,1.5471e-08
1e-08,3.8216e-08,5.9003e-08,4.302e-08
1.2e-08,8.4512e-08,1.2288e-07,1.0059e-07
1.4e-08,1.5978e-07,2.2178e-07,1.9435e-07
1.6e-08,2.6239e-07,3.4778e-07,2.5328e-07
1.8e-08,3.7234e-07,4.7558e-07,3.7574e-07
2e-08,4.6267e-07,5.7084e-07,4.726e-07
2.2e-08,5.1001e-07,6.0841e-07,5.135e-07
2.4e-08,5.0791e-07,5.8648e-07,4.9574e-07
2.6e-08,4.6986e-07,5.1111e-07,4.725e-07
2.8e-08,4.1918e-07,4.4073e-07,4.1678e-07
3e-08,3.757e-07,3.8469e-07,3.6937e-07
3.2e-08,3.456e-07,3.487e-07,3.3953e-07
3.4e-08,3.3161e-07,3.2933e-07,3.2469e-07
3.6e-08,3.237e-07,3.2039e-07,3.2093e-07
3.8e-08,3.2569e-07,3.1677e-07,3.1727e-07
4e-08,3.2621e-07,3.1546e-07,3.1608e-07
4.2e-08,3.3003e-07,3.1499e-07,3.1573e-07
4.4e-08,3.294e-07,3.1488e-07,3.1564e-07
4.6e-08,3.3123e-07,3.1485e-07,3.1563e-07
4.8e-08,3.3242e-07,3.1484e-07,3.1561e-07
5e-08,3.3322e-07,3.1484e-07,3.1561e-07
5.2e-08,3.3643e-07,3.1484e-07,3.1561e-07
5.4e-08,3.3532e-07,3.1484e-07,3.1561e-07
5.6e-08,3.3676e-07,3.1484e-07,3.1561e-07
5.8e-08,3.3672e-07,3.1484e-07,3.1561e-07
6e-08,3.3649e-07,3.1484e-07,3.1561e-07
6.2e-08,3.3845e-07,3.1484e-07,3.1561e-07
6.4e-08,3.3696e-07,3.1484e-07,3.1561e-07
6.6e-08,3.3795e-07,3.1484e-07,3.1561e-07
6.8e-08,3.3795e-07,3.1484e-07,3.1561e-07
7e-08,3.3795e-07,3.1484e-07,3.1561e-07
7.2e-08,3.3795e-07,3.1484e-07,3.1561e-07
7.4e-08,3.3795e-07,3.1484e-07,3.1561e-07
7.6e-08,3.3795e-07,3.1484e-07,3.1561e-07
7.8e-08,3.3795e-07,3.1484e-07,3.1561e-07
8e-08,3.3795e-07,3.1484e-07,3.1561e-07
8.2e-08,3.3795e-07,3.1484e-07,3.1561e-07
